Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	1,3,8,9
*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	2
C[C@H](N)C(=O)O	1,4,5,9
O=C(O)CCC(=O)O	0,1,4,7,10
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O	0,6,9
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	3,7
*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O	3
NCCCC[C@H](N)C(=O)O	4,5,7,9
O=CC(=O)O	0,1,3,4,9,10
N[C@@H](CC(=O)O)C(=O)O	1,4,5,7,9
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	4,5
O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	0,6
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O	1,3,6
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	1,3,6,7
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1	3
O=CO	0,1,5,10
O=S(=O)(O)O	1,3,4,9
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C	1,7,8,9
N=C(N)NCCC[C@H](N)C(=O)O	4,5,9
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1	3,6
NC(=O)CC[C@H](N)C(=O)O	0,1,3,4,5,7
N[C@@H](CO)C(=O)O	0,1,2,4,5,9
C=O	1,10
Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1	0,4,7
*C=O	2
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O	0,5
CSCC[C@H](N)C(=O)O	4,5,9
C=C(OP(=O)(O)O)C(=O)O	0,1,4,5,9
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	3
NCCC[C@H](N)C(=O)O	4,5,9
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	4,9
N[C@@H](Cc1ccccc1)C(=O)O	4,5,9
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	3
N[C@@H](Cc1ccc(O)cc1)C(=O)O	1,4,5,7,8,9
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O	0,1,2,5,8,9
CC=O	0,1,2,4,5,10
O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O	0,1
NC(N)=O	3,4,7,10
O=NO	1,9
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	0
Oc1ccccc1O	10
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O	0,1,4,10
O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	0,9
O=P(O)(O)OC[C@H](O)CO	2
O=S(O)O	1,4,5
OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O	0
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	0,6
N[C@@H](CS)C(=O)O	1,4,5,7,9
NCCC(=O)O	0,3,5,7
CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	0,1,4,5,8,10
Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2	1,4,7
O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	0,2,6,8,9
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	3
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	3
O=c1cc[nH]c(=O)[nH]1	3,5,7
Nc1ccccc1C(=O)O	4,9,10
CCC(=O)C(=O)O	0,4
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCOP(=O)(O)O	6
O=C(CO)COP(=O)(O)O	0,1,2,7
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1	3
C[N+](C)(C)CCO	2,4
OCC(O)CO	0,2
O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O	0,1,3,5,7
O=C[C@H](O)COP(=O)(O)O	0,1,7,8,9
O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O	0,3,4,7
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12	7
OC[C@H]1OC(O)[C@H](O)[C@@H]1O	0
O=C(O)/C=C/C(=O)O	0,1,4,7,10
CC(C)C[C@H](N)C(=O)O	4,9
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O	0
N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O	5
CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO	0,6
C=C(C)CCOP(=O)(O)OP(=O)(O)O	8,9
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	3
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1	3
CO	0,1,9
C[C@@H](N)C(=O)O	5,6
NCCCCN	4,5,9
N[C@@H](Cc1c[nH]cn1)C(=O)O	4,5,9
CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	0,2,4,8
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	0,9
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	0
CC(C)C(=O)C(=O)O	4,7,9
Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2	1,4,7
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	3
Oc1ccccc1	4,10
Nc1ncnc2[nH]cnc12	3,8
O=C(O)[C@@H]1CCCN1	4,5,9
O=C(O)C[C@H](O)C(=O)O	0,1
*[C@H](N)C(=O)O	5
NC(=O)C[C@H](N)C(=O)O	4,5
NC(=O)c1cccnc1	7
CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	2,6
N[C@@H](CCS)C(=O)O	1,4
O=C(O)c1ccc(O)cc1	7,10
*C(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(*)=O	2
O=C(O)CC(O)(CC(=O)O)C(=O)O	0,1,4,8
OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O	0
O=C(O)CO	0,10
*C(=O)O	2
CCC(=O)O	0,7,10
CC(=O)CC(=O)O	0,4,10
O=C(O)C(=O)Cc1ccccc1	4,5,9
O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	0,6
O=C(O)C(=O)CO	0,1,4
NC(=O)OP(=O)(O)O	1,3,4
CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	4,8
*CCC(=O)S*	2
Cc1c[nH]c(=O)[nH]c1=O	3
N=C(N)NCCCCN	4
O=C(O)c1ccccc1	9,10
OC1OC[C@@H](O)[C@H](O)[C@H]1O	0
CC(C)[C@H](N)C(=O)O	4,5,7,9
O=C(CO)CO	1,2
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	0
C[C@H](O)C(=O)O	0,10
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	2,8,9,10
C[C@@H](O)[C@H](N)C(=O)O	4,5,7,9
NCCO	2
O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	0,8
O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	0
NO	1
C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N([Co+]C[C@H]5O[C@@H](n6cnc7c(N)ncnc76)[C@H](O)[C@@H]5O)C([C@H](CC(N)=O)[C@@]4(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]4[C@@H](CO)O[C@H](n5cnc6cc(C)c(C)cc65)[C@@H]4O)[C@]4(C)N=C1[C@@H](CCC(N)=O)[C@]4(C)CC(N)=O)[C@@H](CCC(N)=O)C3(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O	7
*C(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC	2
O=C(O)c1cccc(O)c1O	8,10
O=C(O)[C@H](O)COP(=O)(O)O	0,1,2,4,9
O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	0
O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O	0,1,6,7
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O	0,6
O=C(O)C(=O)C[C@H](O)[C@H](O)CO	0
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1	3
CC(C)=O	0
OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	0
O=C(O)C(=O)O	0,3,10
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	3
CNCC(=O)O	4
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O	3
OC1OC[C@@H](O)[C@@H](O)[C@@H]1O	0
N[C@H](CCC(=O)O)C(=O)O	5
CN	1
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	2
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	0
O=CCC(=O)O	0,1,3,5,10
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1	4,7,9
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O	1,3,9
*CO	2
CC(=O)OP(=O)(O)O	0,1,5
*S	2,6,7,9
O=C(O)c1ccc(O)c(O)c1	8,10
O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O	0,1
O=CCCC(=O)O	0,1,4,7
CC(C)CC(=O)C(=O)O	4,9
Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2	1,7
CC(C)=CCOP(=O)(O)OP(=O)(O)O	7,8
O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O	0,1
[C-]#[O+]	1,10
Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1	3
Nc1nc2[nH]cnc2c(=O)[nH]1	3
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	0
O=[N+]([O-])O	1
NCCS(=O)(=O)O	1,2,5
CCCC(=O)O	0
OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O	0
CCCCCCCCCCCCCCCC(=O)O	2
Cc1ncc(CO)c(C=O)c1O	7
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O	4,7,8,9
OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	0
O=C(O)c1cccnc1	7,9
O=C(O)C(=O)C[C@]1(C(=O)O)C=C[C@@H](O)C=C1	4,9
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C	7
C[C@@H](O)C(=O)O	0
O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	0
O=C(O)[C@H](O)CO	0,1,2,4
OC1OC[C@H](O)[C@H](O)[C@H]1O	0
O=Cc1ccccc1	10
O=c1[nH]cnc2[nH]cnc12	3
N[C@@H](CCO)C(=O)O	1,4
*C(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	2
O=CCO	0,7
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O	0
C[C@H](O)[C@H](O)[C@H]1CNC2=NC(N)=NC(=O)C2=N1	7
*C(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(*)=O	2
CC(=O)N[C@@H]1[C@@H](O)CC(O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO	0,6
C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1	7
O=P(O)(O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O	0,6
O=C[C@H](O)[C@H](O)COP(=O)(O)O	0,1,4,7,9
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O	2,10
Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1	3
O=C([O-])O	1,3
Nc1ccccc1	10
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	3
O=C(O)c1cc(=O)[nH]c(=O)[nH]1	3
O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1	4
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1	3
CN(CC(=O)O)C(=N)N	4
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	3
NC(CCC(=O)O)C(=O)O	5
C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O	2
OCC1(O)OC[C@@H](O)[C@H]1O	0
OCC1(O)OC[C@@H](O)[C@@H]1O	0
O=C(O)CC(C(=O)O)C(O)C(=O)O	0,1
OCC1(O)OC[C@H](O)[C@H]1O	0
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(=O)O	0
Cc1ncc(CO)c(CO)c1O	7
NCCCCNCCCN	4,5,8,9
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO	2
O=S(=O)(O)[S-]	1
O=C(O)CCCC(=O)C(=O)O	1,4
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)c(O)c1	9
C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O	0,6
NC(=O)NCCC[C@H](N)C(=O)O	4
Nc1ccccc1C(=O)C[C@H](N)C(=O)O	4
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	0
Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1	3
O=C(O)C(=O)Cc1c[nH]c2ccccc12	4
CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	0,1,2,4,8,10
O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O	0
NCCCC(=O)O	0,4,5,7
O=C1C[C@@H](C(=O)O)NC(=O)N1	3
CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O	7,8
*C(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(*)=O	2
O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	0
NCCOP(=O)(O)O	2,6
CC(C=O)C(=O)O	4
*C(=O)OCC(COP(=O)(O)OCCN)OC(*)=O	2,6
N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O	0,4
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O	7,8,9
O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O	1,4
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	4,9
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)O	0,4,8
CC(=O)N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O	0
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1	3
Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1	3
Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1	3
Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O	3
Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O	3
O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1	3
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1	3
*O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](*)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O	0,1
C/C(=C\CNc1ncnc2[nH]cnc12)CO	8
*OC[C@H]1O[C@H](OC[C@H]2OC(*)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1	7
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1	7
OC[C@H](O)[C@@H](O)[C@H](O)CO	0
Nc1cc[nH]c(=O)n1	3
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCO	6
O=C(O)CC(=O)O	2,3,5
O=c1[nH]c(=O)c2[nH]cnc2[nH]1	3,9
NCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O	4,5
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1	3
NCCc1c[nH]cn1	4
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	9
COc1c(O)c(C)c(C/C=C(\C)CCC=C(C)C)c(O)c1OC	1,7
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	0
Nc1nc2c(ncn2C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	0
*C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12	9
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O	9
NCCc1c[nH]c2ccccc12	4,9
COC1=C(OC)C(=O)C(C/C=C(\C)CCC=C(C)C)=C(C)C1=O	1
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	8
*O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](*)[C@H](O)[C@H]2O)[C@H]1NC(C)=O	6
N[C@H](CC(=O)O)C(=O)O	4,5
