Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	3, 2, 1, 4, 5
O=C(O)CCC(=O)C(=O)O	64, 67, 15, 35, 16, 37, 38, 39, 41, 42, 44, 10, 48, 24, 62, 63, 5
OO	10
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	68, 65, 41, 69, 70, 4, 71, 44, 72, 73
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	33, 68, 65, 71, 70, 50, 74, 75
C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2	66
CC(=O)O	16, 37, 38, 4, 46, 10, 47, 50, 19, 76
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	3
O=C(O)CC(=O)C(=O)O	31, 0, 16, 36, 39, 42, 10, 47, 48, 50, 19, 24, 5
NCC(=O)O	3, 7, 14, 77, 42, 66, 9, 46, 10, 19, 63, 23
*[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2CO)O1	3, 25
*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	60, 72, 78
C[C@H](N)C(=O)O	30, 0, 37, 39, 42, 27, 24
O=C(O)CCC(=O)O	32, 63, 35, 16, 40, 1, 8, 10, 47, 48, 24, 58, 20, 76
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O	65, 69, 71, 79, 80
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	26, 3, 81
*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O	3, 25
NCCCC[C@H](N)C(=O)O	39, 42, 82, 62, 63, 83
O=CC(=O)O	10, 16, 19, 84, 3, 38, 21, 22, 14
N[C@@H](CC(=O)O)C(=O)O	64, 13, 30, 14, 31, 15, 56, 0, 39, 29, 42, 8, 24, 62, 23, 5
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	9, 30
O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	69, 70, 71
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O	3, 76
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	13, 3, 76
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1	25
O=CO	46, 10, 47, 16, 19, 17, 21
O=S(=O)(O)O	29, 3, 30, 76
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C	85, 26, 1, 5
N=C(N)NCCC[C@H](N)C(=O)O	22, 15, 29, 42, 86, 5
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1	25
NC(=O)CC[C@H](N)C(=O)O	28, 3, 15, 17, 42, 25, 10, 24
N[C@@H](CO)C(=O)O	30, 14, 87, 78, 39, 76, 29, 42, 10, 19, 23, 5
C=O	19, 21
Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1	52, 47, 48, 50, 7, 58
*C=O	11
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O	41, 9
CSCC[C@H](N)C(=O)O	88, 42, 30, 31
C=C(OP(=O)(O)O)C(=O)O	53, 31, 0, 16, 46, 47, 48, 50, 19, 89, 5
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	25
NCCC[C@H](N)C(=O)O	39, 15, 42, 9, 22, 5
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	53, 54, 14, 90, 39, 88, 89, 74
N[C@@H](Cc1ccccc1)C(=O)O	53, 83, 31, 91, 39, 40, 88, 42, 89, 23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	3
N[C@@H](Cc1ccc(O)cc1)C(=O)O	92, 7, 32, 31, 93, 91, 94, 95, 40, 39, 29, 88, 96, 19, 89, 97, 23, 5
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O	51, 53, 98, 31, 56, 94, 16, 99, 39, 59, 12, 100, 60, 47, 61, 97, 58
CC=O	46, 40, 76, 42, 43, 47, 50, 36, 37, 45, 78, 21
O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O	68, 0, 70, 19
NC(N)=O	18, 15, 82, 3, 25, 22
O=NO	17, 5
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	68, 70
Oc1ccccc1O	101, 43, 102, 36, 103, 104, 20
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O	52, 101, 35, 16, 36, 40, 105, 10, 48, 58
O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	65, 68, 57, 5, 75
O=P(O)(O)OC[C@H](O)CO	72, 78
O=S(O)O	37, 30, 76
OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O	68, 70, 106
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	41, 69, 71, 106
N[C@@H](CS)C(=O)O	107, 13, 7, 30, 14, 37, 42, 12, 9, 23, 76
NCCC(=O)O	56, 13, 58, 25
CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	52, 100, 10, 56, 59, 16, 38, 58, 45
Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2	81, 16, 19, 14
O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	68, 69, 70, 108, 71, 50, 109, 44, 72, 75
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	3
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	25
O=c1cc[nH]c(=O)[nH]1	25, 13, 56
Nc1ccccc1C(=O)O	53, 39, 43, 54, 110, 89, 104, 5
CCC(=O)C(=O)O	49, 30, 38, 58, 14
O=C(CO)COP(=O)(O)O	0, 70, 57, 50, 19, 78, 58, 44, 8, 72, 106
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1	25
C[N+](C)(C)CCO	14, 78
OCC(O)CO	70, 44, 72
O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O	33, 46, 0, 28, 3
O=C[C@H](O)COP(=O)(O)O	28, 7, 33, 0, 34, 57, 86, 70, 50, 19, 106
O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O	64, 33, 89, 3, 25, 81
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12	82
OC[C@H]1OC(O)[C@H](O)[C@@H]1O	33
O=C(O)/C=C/C(=O)O	32, 111, 15, 35, 16, 40, 1, 8, 47, 48, 24
CC(C)C[C@H](N)C(=O)O	52, 88, 49
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O	70
N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O	9
CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO	71, 69
C=C(C)CCOP(=O)(O)OP(=O)(O)O	39, 34, 5
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	3
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1	3
CO	35, 19, 74
C[C@@H](N)C(=O)O	42, 79
NCCCCN	42, 9, 22, 83
N[C@@H](Cc1c[nH]cn1)C(=O)O	64, 42, 56, 90
CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	11, 10, 60, 59, 35, 63
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	41, 70, 57, 75
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	71
CC(C)C(=O)C(=O)O	52, 88, 49, 13
Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2	16, 19, 14
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	3
Oc1ccccc1	36, 104, 32, 20
Nc1ncnc2[nH]cnc12	4, 3
O=C(O)[C@@H]1CCCN1	95, 42, 12, 90, 99, 22
O=C(O)C[C@H](O)C(=O)O	0, 16, 10, 47, 48, 19
*[C@H](N)C(=O)O	9
NC(=O)C[C@H](N)C(=O)O	23, 24
NC(=O)c1cccnc1	8
CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	51, 11, 60, 112, 87
N[C@@H](CCS)C(=O)O	30, 76
O=C(O)c1ccc(O)cc1	96, 105, 36, 104, 81, 113
*C(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(*)=O	114, 115, 116, 78
O=C(O)CC(O)(CC(=O)O)C(=O)O	16, 117, 10, 48, 24
OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O	70, 71, 106
O=C(O)CO	10, 20, 21
*C(=O)O	11, 60, 72
CCC(=O)O	55, 58, 8
CC(=O)CC(=O)O	52, 35, 32, 63, 111
O=C(O)C(=O)Cc1ccccc1	40, 42, 89, 83
O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	41, 69, 71, 44
O=C(O)C(=O)CO	10, 19, 14
NC(=O)OP(=O)(O)O	15, 17, 3, 25, 24
CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	4, 30
*CCC(=O)S*	51, 72
Cc1c[nH]c(=O)[nH]c1=O	25
N=C(N)NCCCCN	22
O=C(O)c1ccccc1	53, 43, 105, 36, 104
OC1OC[C@@H](O)[C@H](O)[C@H]1O	44, 71
CC(C)[C@H](N)C(=O)O	52, 88, 107, 49, 13, 23
O=C(CO)CO	19, 72
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	68
C[C@H](O)C(=O)O	47, 50, 58, 111, 106
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	53, 118, 119, 77, 120, 121
C[C@@H](O)[C@H](N)C(=O)O	29, 42, 49, 66, 14
NCCO	78
O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	4, 71
O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	41, 57, 71, 44
NO	17
C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N([Co+]C[C@H]5O[C@@H](n6cnc7c(N)ncnc76)[C@H](O)[C@@H]5O)C([C@H](CC(N)=O)[C@@]4(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]4[C@@H](CO)O[C@H](n5cnc6cc(C)c(C)cc65)[C@@H]4O)[C@]4(C)N=C1[C@@H](CCC(N)=O)[C@]4(C)CC(N)=O)[C@@H](CCC(N)=O)C3(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O	66
*C(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC	87
O=C(O)c1cccc(O)c1O	36, 117, 104
O=C(O)[C@H](O)COP(=O)(O)O	30, 14, 33, 0, 39, 10, 50, 19, 72, 5
O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	33
O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O	33, 26, 0, 19, 44, 80
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O	71, 69
O=C(O)C(=O)C[C@H](O)[C@H](O)CO	33, 44
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1	3
CC(C)=O	35
OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	68
O=C(O)C(=O)O	10, 3, 21
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	3
CNCC(=O)O	22, 14
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O	25
OC1OC[C@@H](O)[C@@H](O)[C@@H]1O	41, 71, 44
N[C@H](CCC(=O)O)C(=O)O	42
CN	19
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	112, 115, 116
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	33, 50
O=CCC(=O)O	56, 57, 16, 58, 25, 21
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1	96, 53, 122, 123, 91, 22, 31
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O	29, 3, 76
*CO	11, 124
CC(=O)OP(=O)(O)O	47, 16, 19, 37
*S	51, 65, 11, 13, 80
O=C(O)c1ccc(O)c(O)c1	102, 105, 36, 117, 104
O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O	33, 41, 0, 19, 44
O=CCCC(=O)O	35, 16, 28, 32, 8, 24
CC(C)CC(=O)C(=O)O	52, 88, 49
Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2	16
CC(C)=CCOP(=O)(O)OP(=O)(O)O	26, 34, 4
O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O	0, 50
[C-]#[O+]	16, 19, 21
Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1	25
Nc1nc2[nH]cnc2c(=O)[nH]1	3
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	70
O=[N+]([O-])O	17
NCCS(=O)(=O)O	77, 37, 76
CCCC(=O)O	35
OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O	106
CCCCCCCCCCCCCCCC(=O)O	51, 11, 60, 112, 124
Cc1ncc(CO)c(C=O)c1O	28
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O	96, 53, 39, 110, 89, 117, 97, 81, 5
OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	68
O=C(O)c1cccnc1	8, 83
O=C(O)C(=O)C[C@]1(C(=O)O)C=C[C@@H](O)C=C1	95, 53, 89, 5, 31
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C	26
C[C@@H](O)C(=O)O	47
O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	33
O=C(O)[C@H](O)CO	33, 10, 19, 14, 72
OC1OC[C@H](O)[C@H](O)[C@H]1O	41, 71, 44
O=Cc1ccccc1	105, 104
O=c1[nH]cnc2[nH]cnc12	3
N[C@@H](CCO)C(=O)O	30, 62, 14, 76
*C(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	60
O=CCO	10, 28, 44, 81
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O	70, 71, 50, 106
C[C@H](O)[C@H](O)[C@H]1CNC2=NC(N)=NC(=O)C2=N1	81
*C(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(*)=O	78
CC(=O)N[C@@H]1[C@@H](O)CC(O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO	71, 69
C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1	81
O=P(O)(O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O	69, 71, 106
O=C[C@H](O)[C@H](O)COP(=O)(O)O	33, 39, 0, 28, 89, 5
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O	118, 120
Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1	3
O=C([O-])O	16, 17, 3
Nc1ccccc1	104
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	3
O=C(O)c1cc(=O)[nH]c(=O)[nH]1	25
O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1	89
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1	25
CN(CC(=O)O)C(=N)N	22, 14
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	3
NC(CCC(=O)O)C(=O)O	23
C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O	78
OCC1(O)OC[C@@H](O)[C@H]1O	44
OCC1(O)OC[C@@H](O)[C@@H]1O	44
O=C(O)CC(C(=O)O)C(O)C(=O)O	16, 10, 48
OCC1(O)OC[C@H](O)[C@H]1O	44
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(=O)O	10
Cc1ncc(CO)c(CO)c1O	28
NCCCCNCCCN	56, 91, 117, 9, 22
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO	87
O=S(=O)(O)[S-]	76
O=C(O)CCCC(=O)C(=O)O	54, 19, 62, 63
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)c(O)c1	53, 122, 123, 91, 31
C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O	69, 71, 106
NC(=O)NCCC[C@H](N)C(=O)O	15
Nc1ccccc1C(=O)C[C@H](N)C(=O)O	54
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	71
Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1	3
O=C(O)C(=O)Cc1c[nH]c2ccccc12	54
CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	52, 11, 10, 34, 47, 35, 54, 16, 36, 63
O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O	41, 71, 44
NCCCC(=O)O	56, 35, 22, 8, 24
O=C1C[C@@H](C(=O)O)NC(=O)N1	25
CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O	96, 34, 125
*C(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(*)=O	78
O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	33
NCCOP(=O)(O)O	87, 78
CC(C=O)C(=O)O	52
*C(=O)OCC(COP(=O)(O)OCCN)OC(*)=O	78
N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O	71, 24
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O	96, 39, 34, 126, 127, 128, 5, 31
O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O	0, 19, 89
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	93, 92, 32
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)O	52, 34, 35
CC(=O)N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O	71
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1	3
